ID_Registro,Puesto_Empleo,Tipo_Recurso,Nombre_O_Modelo,Costo_Inversion_Inicial_USD,Gasto_Mantenimiento_Operacion_Mensual_USD,Salario_O_Licencia_Mensual_USD,Gasto_Total_Anual_USD,Horas_Operativas_Mes,Costo_Por_Hora_USD,Nivel_Eficiencia_Pct,Tasa_Error_Pct,Estado_Implementacion
REC-1001,Cajero,Empleado Real (Humano),Diego Martínez,371.07,97.41,866.98,11943.68,176,5.48,69.9,3.16,Activo / En Contrato
REC-1002,Cajero,Empleado Real (Humano),Isabella González,392.83,145.03,823.15,12010.99,153,6.33,78.2,3.96,Activo / En Contrato
REC-1003,Cajero,Empleado Real (Humano),Ana Pérez,396.28,145.44,815.43,11926.72,140,6.86,78.1,4.55,Activo / En Contrato
REC-1004,Cajero,Empleado Real (Humano),Lucía Rodríguez,437.05,142.27,777.33,11472.29,167,5.51,83.5,3.87,Activo / En Contrato
REC-1005,Cajero,Empleado Real (Humano),Valeria Díaz,398.69,101.02,995.39,13555.64,140,7.83,84.8,3.7,Activo / En Contrato
REC-1006,Cajero,Empleado Real (Humano),Carlos Flores,478.58,119.6,755.02,10974.06,156,5.61,89.2,3.43,Activo / En Contrato
REC-1007,Cajero,Empleado Real (Humano),Santiago Ruiz,464.21,119.58,837.78,11952.53,149,6.43,80.0,4.0,Activo / En Contrato
REC-1008,Cajero,Empleado Real (Humano),David Romero,411.4,112.38,894.32,12491.79,142,7.09,79.3,2.75,Activo / En Contrato
REC-1009,Cajero,Empleado Real (Humano),Santiago Díaz,470.86,100.11,868.86,12098.41,168,5.77,82.2,3.31,Activo / En Contrato
REC-1010,Cajero,Empleado Real (Humano),Elena Álvarez,346.09,116.52,835.83,11774.33,171,5.57,84.6,4.98,Activo / En Contrato
REC-1011,Cajero,Empleado Real (Humano),Santiago López,358.12,118.11,825.8,11685.02,143,6.6,88.3,2.95,Activo / En Contrato
REC-1012,Cajero,Empleado Real (Humano),Sofia Cruz,363.38,103.71,831.11,11581.29,147,6.36,92.4,3.63,Activo / En Contrato
REC-1013,Cajero,Empleado Real (Humano),Lucía Rodríguez,446.95,107.95,826.75,11663.29,164,5.7,87.7,3.64,Activo / En Contrato
REC-1014,Cajero,Empleado Real (Humano),Diego Ruiz,418.97,99.55,784.93,11032.66,156,5.67,85.2,1.92,Activo / En Contrato
REC-1015,Cajero,Empleado Real (Humano),Isabella Gómez,336.28,116.47,881.05,12306.55,173,5.77,70.9,4.93,Activo / En Contrato
REC-1016,Cajero,Empleado Real (Humano),Mateo Vargas,290.74,127.6,953.03,13258.32,162,6.67,86.5,3.76,Activo / En Contrato
REC-1017,Cajero,Empleado Real (Humano),Isabella Hernández,457.71,130.42,816.08,11815.71,128,7.39,74.3,3.08,Activo / En Contrato
REC-1018,Cajero,Empleado Real (Humano),Luis Cruz,337.02,127.72,881.24,12444.56,156,6.47,85.8,0.47,Activo / En Contrato
REC-1019,Cajero,Empleado Real (Humano),María Hernández,428.4,112.0,857.41,12061.35,156,6.21,78.6,5.54,Activo / En Contrato
REC-1020,Cajero,Empleado Real (Humano),Mateo Sánchez,348.72,90.91,807.2,11126.09,166,5.41,85.4,3.65,Activo / En Contrato
REC-1021,Cajero,Empleado Real (Humano),Valeria Sánchez,481.07,104.52,832.77,11728.57,140,6.69,80.8,3.26,Activo / En Contrato
